15.6,18.79,-0.69,-40.21,-44.8,-14.89,19.05,0.43,-0.96,-6.86,24.25,2.71,1.02
15.17,18.4,-15.23,-52.79,-29.22,-15.73,15.89,-21.76,-10.41,-18.33,27.26,9.72,17.01
14.96,19.27,-14.2,-53.49,-31.44,-17.91,16.95,-15.48,-5.46,-15.98,22.99,4.4,10.7
15.4,23.47,-14.27,-49.8,-20.84,-9.53,22.05,-13.45,2.26,-15.87,22.54,0.79,18.17
14.19,28.11,-7.58,-44.28,-8.96,-7.48,25.32,-9.38,4.89,-17.19,18.84,4.83,19.6
14.88,23.83,-6.85,-36.48,-15.36,-6.34,19.88,-8.73,0.78,-11.99,20.55,5.22,12.79
15.02,37.49,4.28,-59.78,-30.2,-5.4,39.31,-22.07,-5.65,-19.95,36.85,0.54,17.14
14.52,27.48,0.58,-42.56,-23.62,-7.08,29.23,-14.14,-8.19,-23.43,23.53,7.93,17.52
14.92,32.53,-3.93,-54.53,-21.96,-8.78,32.29,-9.37,10.5,-7.83,38.36,7.86,23.14
14.76,18.29,-12.23,-39.11,-21.23,-10.2,15.62,-8.01,-1.25,-17.68,8.35,-1.9,10.77
15.34,19.12,-18.29,-47.93,-12.57,-10.95,15.79,-17.13,-1.83,-18.18,8.64,-4.97,8.8
18.01,15.57,-20.21,-54.68,-14.02,8.84,47.94,1.31,10.36,-13.62,26.45,-2.12,14.69
17.3,20.02,-14.5,-53.14,-22.43,-7.03,36.18,4.5,13.78,-14.62,13.96,-5.95,13.46
18.13,25.71,-10.67,-49.43,-15.99,-8.34,33.6,-4.3,7.02,-24.84,10.22,-6.38,20.64
18.19,16.92,-17.99,-57.46,-29.94,-16.22,22.18,-9.94,2.81,-17.6,18.07,1.81,19.48
16.96,21.02,-8.48,-40.13,-27.19,-20.26,4.81,-18.32,-8.11,-15.7,15.86,3.86,14.0
17.43,29.29,-3.26,-52.41,-37.47,-29.18,4.77,-32.32,-12.89,-16.01,35.86,15.91,27.52
17.11,23.54,0.37,-19.87,-15.75,-12.79,-0.25,-14.76,-10.94,-12.78,8.3,4.94,8.41
17.69,54.51,15.3,-45.99,-10.49,-21.6,26.09,-38.43,-9.5,-22.63,30.02,-1.6,19.71
17.19,29.57,1.55,-36.17,-29.74,-27.76,-1.97,-28.8,-19.22,-27.85,10.19,3.98,18.9
17.11,32.32,-2.05,-48.41,-34.93,-40.94,-8.29,-34.06,-13.16,-29.99,4.97,-9.37,12.03
