17.66,10.64,8.4,13.28,-0.41,8.74,-0.68,3.75,-4.87,4.13,5.26,14.95,11.46
17.84,28.21,17.83,11.03,8.09,7.38,10.29,2.75,-6.06,-13.97,-10.75,-5.23,-0.59
17.38,49.05,32.96,-4.41,3.29,2.32,26.63,-0.52,1.58,-17.23,15.97,5.98,21.19
16.72,31.22,22.59,12.49,10.09,8.57,14.24,1.36,-9.48,-22.04,-14.94,-6.4,4.64
16.59,23.47,11.93,6.94,2.67,-0.02,0.85,-2.16,-3.79,-6.26,-6.12,-5.0,-2.0
17.11,50.04,31.11,-3.82,9.56,3.44,33.0,4.69,9.77,-16.16,2.62,-7.36,15.35
16.74,26.98,16.98,11.63,6.55,3.26,4.98,2.77,1.13,-3.47,-5.14,-6.04,-4.93
17.88,48.52,32.83,0.08,5.66,3.98,33.99,6.17,15.11,0.14,21.09,7.45,20.34
16.72,24.37,13.13,9.29,8.59,7.57,8.35,3.91,3.14,3.06,5.69,4.81,3.08
17.28,34.74,21.07,7.73,8.47,8.44,14.88,-1.32,-9.48,-16.98,-3.66,1.26,11.7
17.66,24.92,14.15,10.82,10.49,9.26,9.24,2.78,-1.71,-5.47,-3.3,-1.39,1.26
17.35,25.37,14.43,10.12,8.69,9.53,13.11,9.38,4.3,-0.58,0.7,3.78,6.91
15.98,20.34,8.29,4.0,-0.15,-2.56,-1.91,-3.07,-4.24,-5.92,-7.65,-8.17,-6.94
18.38,24.75,13.73,10.63,9.16,8.53,8.64,3.38,-0.47,-1.93,0.39,3.57,7.86
17.88,31.84,20.54,12.94,13.47,8.96,10.79,-0.45,-1.94,-4.57,1.48,-1.16,0.99
17.94,25.19,15.53,12.47,10.05,8.13,8.89,5.75,2.84,0.17,1.28,3.15,3.84
17.1,27.71,14.96,6.23,7.52,10.5,17.25,7.77,1.26,-6.14,1.33,2.04,3.78
16.18,24.82,12.49,4.71,2.35,-1.37,-0.47,-6.58,-3.27,-1.7,5.99,3.54,3.37
16.86,27.07,16.15,9.69,6.28,4.01,6.8,1.89,0.53,0.26,6.41,9.22,9.64
16.54,40.28,22.31,-0.41,1.57,1.27,19.3,2.72,5.98,-11.33,1.03,-9.0,4.85
17.89,29.16,17.34,8.82,8.87,12.17,22.56,18.69,12.74,-2.47,-5.56,-7.92,0.18
17.47,24.19,13.9,11.08,8.36,6.08,5.56,1.87,-0.47,-1.8,-0.64,1.42,3.64
17.01,27.99,17.78,12.43,8.78,6.98,10.67,7.68,5.52,0.49,-1.33,-1.69,3.51
16.94,25.96,15.09,12.6,12.41,10.73,8.04,1.88,0.96,1.61,3.94,2.01,1.77
17.1,35.99,21.24,5.04,9.67,12.22,20.82,3.73,1.0,-8.39,2.62,-4.8,1.19
16.87,34.97,22.04,7.09,5.59,1.86,7.81,-4.69,-4.35,-12.58,-2.73,-6.68,0.09
17.43,26.14,15.13,11.19,12.07,12.05,14.51,7.9,3.0,-4.39,-7.06,-8.63,-4.6
16.83,25.23,16.1,13.36,11.19,7.14,4.22,-2.1,-4.46,-4.46,0.11,2.49,3.08
18.42,37.83,24.57,9.01,13.92,15.53,28.59,9.84,4.08,-12.19,-2.61,-6.32,4.49
17.87,53.52,29.05,-10.88,10.97,10.32,43.97,-7.03,0.07,-7.19,21.0,-3.6,12.1
17.76,26.41,16.98,14.14,11.94,8.26,6.57,-0.42,-4.17,-6.12,-3.15,-0.07,3.13
18.26,27.34,16.97,13.7,12.78,11.6,10.24,2.11,-3.95,-6.75,-3.97,-1.16,1.33
18.65,24.91,15.17,13.07,11.75,9.76,8.96,4.11,0.76,-1.88,-2.27,-2.45,-0.99
17.1,39.9,24.64,5.24,12.09,8.2,18.33,-1.63,-2.65,-12.8,2.96,-7.72,-1.45
18.13,36.13,23.73,9.33,12.33,13.59,27.52,15.47,9.26,-9.02,-3.02,-5.33,5.17
